Order,Property Id,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Latitude,Longitude,Community Board,Council District,Census Tract,log_Order,log_Property Id,log_DOF Gross Floor Area,log_Largest Property Use Type - Gross Floor Area (ft²),log_Year Built,log_Number of Buildings - Self-reported,log_Occupancy,log_Site EUI (kBtu/ft²),log_Weather Normalized Site EUI (kBtu/ft²),log_Weather Normalized Site Electricity Intensity (kWh/ft²),log_Weather Normalized Site Natural Gas Intensity (therms/ft²),log_Weather Normalized Source EUI (kBtu/ft²),log_Natural Gas Use (kBtu),log_Weather Normalized Site Natural Gas Use (therms),log_Electricity Use - Grid Purchase (kBtu),log_Weather Normalized Site Electricity (kWh),log_Total GHG Emissions (Metric Tons CO2e),log_Direct GHG Emissions (Metric Tons CO2e),log_Indirect GHG Emissions (Metric Tons CO2e),log_Property GFA - Self-Reported (ft²),log_Water Intensity (All Water Sources) (gal/ft²),log_Source EUI (kBtu/ft²),log_Latitude,log_Community Board,log_Council District,log_Census Tract,Borough_Bronx,Borough_Brooklyn,Borough_Manhattan,Borough_Queens,Borough_Staten Island,Largest Property Use Type_Adult Education,Largest Property Use Type_Automobile Dealership,Largest Property Use Type_Bank Branch,Largest Property Use Type_College/University,Largest Property Use Type_Convenience Store without Gas Station,Largest Property Use Type_Courthouse,Largest Property Use Type_Distribution Center,Largest Property Use Type_Enclosed Mall,Largest Property Use Type_Financial Office,Largest Property Use Type_Hospital (General Medical & Surgical),Largest Property Use Type_Hotel,Largest Property Use Type_K-12 School,Largest Property Use Type_Library,Largest Property Use Type_Mailing Center/Post Office,Largest Property Use Type_Manufacturing/Industrial Plant,Largest Property Use Type_Medical Office,Largest Property Use Type_Movie Theater,Largest Property Use Type_Multifamily Housing,Largest Property Use Type_Museum,Largest Property Use Type_Non-Refrigerated Warehouse,Largest Property Use Type_Office,Largest Property Use Type_Other,Largest Property Use Type_Other - Education,Largest Property Use Type_Other - Entertainment/Public Assembly,Largest Property Use Type_Other - Lodging/Residential,Largest Property Use Type_Other - Mall,Largest Property Use Type_Other - Public Services,Largest Property Use Type_Other - Recreation,Largest Property Use Type_Other - Services,Largest Property Use Type_Other - Specialty Hospital,Largest Property Use Type_Outpatient Rehabilitation/Physical Therapy,Largest Property Use Type_Parking,Largest Property Use Type_Performing Arts,Largest Property Use Type_Pre-school/Daycare,Largest Property Use Type_Refrigerated Warehouse,"Largest Property Use Type_Repair Services (Vehicle, Shoe, Locksmith, etc.)",Largest Property Use Type_Residence Hall/Dormitory,Largest Property Use Type_Residential Care Facility,Largest Property Use Type_Restaurant,Largest Property Use Type_Retail Store,Largest Property Use Type_Self-Storage Facility,Largest Property Use Type_Senior Care Community,Largest Property Use Type_Social/Meeting Hall,Largest Property Use Type_Strip Mall,Largest Property Use Type_Supermarket/Grocery Store,Largest Property Use Type_Urgent Care/Clinic/Other Outpatient,Largest Property Use Type_Wholesale Club/Supercenter,Largest Property Use Type_Worship Facility,score
9279,2977393,61000.0,1903,1,100,72.2,7.0,0.2,,1175312.9,11753.1,1472981.7,424666.6,331.1,194.4,136.7,61000.0,24.89,125.1,40.663644,-73.989684,7.0,39.0,141.0,9.13550906135318,14.906558643377794,11.018629143155449,11.018629143155449,7.551186867296149,0.0,4.605170185988092,4.279440045898781,,1.9459101490553132,-1.6094379124341003,,13.977044967981751,9.37187231456258,14.20279927174234,12.959059669460252,5.802420444553201,5.2699178920263385,4.917788743729904,11.018629143155449,3.2144661163795005,4.829113417472866,3.7053344254338416,1.9459101490553132,3.6635616461296463,4.948759890378168,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
9286,4276080,94821.0,1928,1,100,84.7,3.1,0.8,118.0,7198244.9,78876.5,1040585.4,298689.6,478.9,382.3,96.6,97321.0,25.79,111.2,40.673303,-73.971301,6.0,39.0,159.0,9.136263168579868,15.268547260025962,11.459746182698748,11.459746182698748,7.564238475170491,0.0,4.605170185988092,4.439115601658009,4.516338972281476,1.1314021114911006,-0.2231435513142097,4.770684624465665,15.789347790382148,11.275638617095332,13.855293997372819,12.60716018605537,6.171491807348564,5.946205640702368,4.570578741218473,11.485770072224856,3.2499868198932536,4.711330381816482,3.705571931275938,1.791759469228055,3.6635616461296463,5.0689042022202315,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9308,2817484,62000.0,1980,1,100,9.3,2.7,,,0.0,,539286.2,158055.7,50.0,0.0,50.0,116000.0,5.15,29.2,40.680519,-73.961642,8.0,35.0,203.0,9.138629524422182,14.851354846086688,11.03488966402723,10.968198289528557,7.590852123688581,0.0,4.605170185988092,2.2300144001592104,,0.9932517730102834,,,-inf,,13.198001692271795,11.970702781529994,3.912023005428146,-inf,3.912023005428146,11.661345470088502,1.6389967146756448,3.374168709274236,3.7057493292110695,2.0794415416798357,3.5553480614894135,5.313205979041787,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9309,4037952,50550.0,2014,1,100,20.8,4.0,0.1,51.8,412210.4,5205.8,869136.7,246689.1,102.6,21.9,80.7,61525.0,0.47,51.4,40.679977,-73.959043,8.0,35.0,305.0,9.13873695311649,15.21124819071146,10.830718224448617,11.027198875259257,7.607878073278507,0.0,4.605170185988092,3.0349529867072724,3.095577608523707,1.3862943611198906,-2.3025850929940455,3.9473901492654373,12.929289177590858,8.55752866760564,13.675255699125753,12.415884118322857,4.630837932736669,3.086486636822455,4.390738575275903,11.027198875259257,-0.7550225842780328,3.9396381724611196,3.705736005791802,2.0794415416798357,3.5553480614894135,5.720311776607412,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
9316,3988141,145931.0,1965,3,100,68.2,7.5,0.5,131.4,5119700.0,57997.0,3104292.0,909815.8,560.0,271.9,288.1,120521.0,,125.5,40.677218,-73.957689,8.0,35.0,305.0,9.139488631004232,15.19883576550706,11.890889186238875,11.699579290587844,7.583247524303362,1.0986122886681098,4.605170185988092,4.222444564849416,4.302712827954156,2.0149030205422647,-0.6931471805599453,4.8782461060505105,15.448606401549009,10.968146564052885,14.948296228025686,13.720997440421412,6.327936783729195,5.605434351638425,5.663307642090483,11.699579290587844,,4.832305758571839,3.7056681814278707,2.0794415416798357,3.5553480614894135,5.720311776607412,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9324,2808043,56350.0,1930,1,100,92.2,5.1,0.8,139.9,4150122.0,45496.0,1046626.4,289792.2,317.6,220.4,97.1,56350.0,,135.7,40.676337,-73.958061,8.0,35.0,305.0,9.140347000155648,14.847998357400904,10.939337519467923,11.506404247979964,7.5652752818989315,0.0,4.605170185988092,4.523960130562548,4.5880240271531205,1.62924053973028,-0.2231435513142097,4.940927881671436,15.238648289365141,10.725379688986635,13.861082597138706,12.576919393392629,5.760792729372981,5.39544407727876,4.575741375297279,10.939337519467923,,4.9104465668408235,3.705646522878345,2.0794415416798357,3.5553480614894135,5.720311776607412,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9334,4043173,129188.0,1967,1,100,81.8,11.9,,167.5,,,5385159.9,1530893.5,890.0,390.2,499.7,129188.0,75.87,171.4,40.674743,-73.96011,8.0,35.0,217.0,9.141418926509761,15.212540337714861,11.769023986760127,11.769023986760127,7.584264818389059,0.0,4.605170185988092,4.404277243608702,4.389498649512583,2.4765384001174837,,5.120983351265121,,,15.499157561725095,14.241362109842715,6.7912214627261855,5.96665942818901,6.214007918350159,11.769023986760127,4.329021349349984,5.1440000061636795,3.705607334707759,2.0794415416798357,3.5553480614894135,5.37989735354046,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9342,2742055,97320.0,1940,1,100,53.0,3.5,0.4,84.2,4381071.6,47564.6,1369240.7,393127.5,380.2,253.2,127.1,113700.0,,80.7,40.674332,-73.968802,8.0,35.0,207.0,9.142275641062053,14.8242181972548,11.485759796897458,11.617285480294472,7.570443252057374,0.0,4.605170185988092,3.970291913552122,4.039536325727106,1.252762968495368,-0.916290731874155,4.4331949212482815,15.292803909963101,10.769844066060363,14.129766910583465,12.8818892657171,5.940697430054329,5.534179690270021,4.844974178195408,11.641318679738628,,4.390738575275903,3.7055972301060778,2.0794415416798357,3.5553480614894135,5.332718793265369,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9344,2920468,61398.0,1925,1,100,56.3,,,,,,837577.8,,324.9,247.2,77.7,73144.0,18.44,81.3,40.673063,-73.968071,8.0,35.0,207.0,9.142489705068009,14.887254435374567,11.02513254031481,10.243026510528125,7.562681246721884,0.0,4.605170185988092,4.030694535145645,,,,,,,13.638269433889224,,5.783517442675055,5.510197725583535,4.3528552573736015,11.200185379844262,2.914522218128448,4.398146016553765,3.7055660305821077,2.0794415416798357,3.5553480614894135,5.332718793265369,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
9354,2749796,125300.0,1926,1,100,67.5,2.9,0.5,90.7,6213576.7,62135.8,1235675.0,357463.3,519.4,404.7,114.7,125315.0,,91.1,40.672887,-73.966946,8.0,35.0,215.0,9.143559338285831,14.827037285072965,11.73846614088416,11.730573946002458,7.563200592358071,0.0,4.605170185988092,4.212127597878484,4.209160236650682,1.0647107369924282,-0.6931471805599453,4.507557357121091,15.642247246241482,11.037077591348327,14.027127937439861,12.786787978503916,6.252674299228648,6.00314605188182,4.742320024135325,11.738585846408712,,4.511957804265912,3.705561703384503,2.0794415416798357,3.5553480614894135,5.3706380281276624,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
