Order,Property Id,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Latitude,Longitude,Community Board,Council District,Census Tract,log_Order,log_Property Id,log_DOF Gross Floor Area,log_Largest Property Use Type - Gross Floor Area (ft²),log_Year Built,log_Number of Buildings - Self-reported,log_Occupancy,log_Site EUI (kBtu/ft²),log_Weather Normalized Site EUI (kBtu/ft²),log_Weather Normalized Site Electricity Intensity (kWh/ft²),log_Weather Normalized Site Natural Gas Intensity (therms/ft²),log_Weather Normalized Source EUI (kBtu/ft²),log_Natural Gas Use (kBtu),log_Weather Normalized Site Natural Gas Use (therms),log_Electricity Use - Grid Purchase (kBtu),log_Weather Normalized Site Electricity (kWh),log_Total GHG Emissions (Metric Tons CO2e),log_Direct GHG Emissions (Metric Tons CO2e),log_Indirect GHG Emissions (Metric Tons CO2e),log_Property GFA - Self-Reported (ft²),log_Water Intensity (All Water Sources) (gal/ft²),log_Source EUI (kBtu/ft²),log_Latitude,log_Community Board,log_Council District,log_Census Tract,Borough_Bronx,Borough_Brooklyn,Borough_Manhattan,Borough_Queens,Borough_Staten Island,Largest Property Use Type_Adult Education,Largest Property Use Type_Automobile Dealership,Largest Property Use Type_Bank Branch,Largest Property Use Type_College/University,Largest Property Use Type_Convenience Store without Gas Station,Largest Property Use Type_Courthouse,Largest Property Use Type_Distribution Center,Largest Property Use Type_Enclosed Mall,Largest Property Use Type_Financial Office,Largest Property Use Type_Hospital (General Medical & Surgical),Largest Property Use Type_Hotel,Largest Property Use Type_K-12 School,Largest Property Use Type_Library,Largest Property Use Type_Mailing Center/Post Office,Largest Property Use Type_Manufacturing/Industrial Plant,Largest Property Use Type_Medical Office,Largest Property Use Type_Movie Theater,Largest Property Use Type_Multifamily Housing,Largest Property Use Type_Museum,Largest Property Use Type_Non-Refrigerated Warehouse,Largest Property Use Type_Office,Largest Property Use Type_Other,Largest Property Use Type_Other - Education,Largest Property Use Type_Other - Entertainment/Public Assembly,Largest Property Use Type_Other - Lodging/Residential,Largest Property Use Type_Other - Mall,Largest Property Use Type_Other - Public Services,Largest Property Use Type_Other - Recreation,Largest Property Use Type_Other - Services,Largest Property Use Type_Other - Specialty Hospital,Largest Property Use Type_Outpatient Rehabilitation/Physical Therapy,Largest Property Use Type_Parking,Largest Property Use Type_Performing Arts,Largest Property Use Type_Pre-school/Daycare,Largest Property Use Type_Refrigerated Warehouse,"Largest Property Use Type_Repair Services (Vehicle, Shoe, Locksmith, etc.)",Largest Property Use Type_Residence Hall/Dormitory,Largest Property Use Type_Residential Care Facility,Largest Property Use Type_Restaurant,Largest Property Use Type_Retail Store,Largest Property Use Type_Self-Storage Facility,Largest Property Use Type_Senior Care Community,Largest Property Use Type_Social/Meeting Hall,Largest Property Use Type_Strip Mall,Largest Property Use Type_Supermarket/Grocery Store,Largest Property Use Type_Urgent Care/Clinic/Other Outpatient,Largest Property Use Type_Wholesale Club/Supercenter,Largest Property Use Type_Worship Facility,score
20,2777309,,1907,7,100,120.0,8.7,0.9,193.6,52441239.4,556997.6,17958140.6,5217062.4,4554.7,2888.2,1666.5,598000.0,,188.7,,,,,,2.995732273553991,14.836993031254684,,12.685407602204794,7.553286605600419,1.9459101490553132,4.605170185988092,4.787491742782046,4.829912458665998,2.163323025660538,-0.10536051565782628,5.265794174842477,17.775203851210534,13.23031621010301,16.703554085411906,15.467445042830066,8.423914945834632,7.968388749692465,7.418480897747794,13.301346032932768,,5.240158452374504,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,2809896,,1964,2,100,115.9,0.0,1.2,124.7,61638997.2,631631.4,5527.4,1620.0,3308.4,3307.8,0.5,535632.0,16.77,121.7,,,,,,3.295836866004329,14.84865802994886,,13.191202637093593,7.582738488914411,0.6931471805599453,4.605170185988092,4.752727750345706,4.777441406928545,-inf,0.1823215567939546,4.825910852685991,17.936805299627135,13.356061275137373,8.617472821206576,7.3901814282264295,8.104219967817752,8.104038594823693,-0.6931471805599453,13.191202637093593,2.8195915758351173,4.801558999993482,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
28,4954491,256528.0,1964,1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256528.0,,0.0,40.816968,-73.960754,9.0,7.0,211.0,3.332204510175204,15.415804995949014,12.454993099428618,12.454993099428618,7.582738488914411,0.0,4.605170185988092,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,12.454993099428618,,-inf,3.709097877307961,2.1972245773362196,1.9459101490553132,5.351858133476067,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,4954504,339104.0,1964,1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339104.0,,0.0,40.817221,-73.960776,9.0,7.0,211.0,3.367295829986474,15.415807619827621,12.734062123974562,12.734062123974562,7.582738488914411,0.0,4.605170185988092,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,12.734062123974562,,-inf,3.7091040756913367,2.1972245773362196,1.9459101490553132,5.351858133476067,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,2825730,54725.0,1971,2,100,26.9,7.9,0.0,84.5,100.0,1.0,5357112.7,1570079.7,497.1,0.0,497.1,199058.0,5.07,84.5,40.729201,-73.994155,2.0,1.0,57.0,3.4011973816621555,14.854277296260966,10.910075922391064,12.201352020893657,7.58629630715272,0.6931471805599453,4.605170185988092,3.292126286607793,3.292126286607793,2.066862759472976,-inf,4.436751534363128,4.605170185988092,0.0,15.493935712536148,14.266636940367237,6.208791213100627,-inf,6.208791213100627,12.201351518527638,1.623340817603092,4.436751534363128,3.706945304477972,0.6931471805599453,0.0,4.04305126783455,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,3612678,,1897,56,100,175.9,16.2,1.2,300.4,770027489.0,7700274.9,353396020.5,103574436.6,73694.9,40899.9,32795.0,6385382.0,,300.4,,,,,,3.6375861597263857,15.099959883545335,,15.669678468820464,7.5480289699350145,4.02535169073515,4.605170185988092,5.169915651743512,5.169915651743512,2.785011242238338,0.1823215567939546,5.705114919889979,20.461936772174774,15.856766587485337,19.683099857175264,18.455801106376377,11.207688876325776,10.618882897040129,10.398031343727835,15.669521873380392,,5.705114919889979,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
71,2747235,1368870.0,1910,1,100,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,111632.0,,0.0,40.809752,-73.960217,9.0,7.0,203.0,4.2626798770413155,14.826105509288805,14.129496139936927,11.622963026179018,7.554858521040676,0.0,4.605170185988092,-inf,-inf,-inf,,-inf,,,-inf,-inf,-inf,-inf,-inf,11.622963026179018,,-inf,3.708921072457324,2.1972245773362196,1.9459101490553132,5.313205979041787,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80,3105049,1368870.0,1950,1,100,0.3,,0.0,0.3,87900.0,879.0,,,4.7,4.7,0.0,287737.0,,0.3,40.809752,-73.960217,9.0,7.0,203.0,4.382026634673881,14.948540054223587,14.129496139936927,12.569802147457573,7.575584651557793,0.0,4.605170185988092,-1.2039728043259361,-1.2039728043259361,,-inf,-1.2039728043259361,11.383955083673268,6.778784897685177,,,1.547562508716013,1.547562508716013,-inf,12.569802147457573,,-1.2039728043259361,3.708921072457324,2.1972245773362196,1.9459101490553132,5.313205979041787,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
95,3614737,,1914,12,100,111.5,24.0,0.3,287.3,82040481.3,820404.8,241907518.0,69844385.5,26806.5,4357.6,22449.0,2904696.0,,291.2,,,,,,4.553876891600541,15.100529658507947,,14.881839295632183,7.5569505720129,2.4849066497880004,4.605170185988092,4.7140245909001735,4.703203926259457,3.1780538303479458,-1.2039728043259361,5.660526965985244,18.22272335780166,13.617553155967732,19.30406605405556,18.061780261052252,10.196399674404962,8.379676726069464,10.019001348748468,14.881839295632183,,5.674010316322531,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
107,3614751,,1905,4,100,92.4,11.2,0.0,184.4,2679329.0,30362.3,36618926.7,10630818.5,6780.5,142.3,6638.2,953183.0,30.2,185.2,,,,,,4.672828834461906,15.100533531534639,,13.767562189385494,7.552237287560802,1.3862943611198906,4.605170185988092,4.526126978647638,4.526126978647638,2.4159137783010487,-inf,5.2171073111224935,14.801076948004125,10.320956986215863,17.416075787660418,16.17926774641312,8.821806124528,4.957937505095806,8.80059612138313,13.767562189385494,3.407841924380824,5.221436322212079,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
109,2266206,125840.0,1905,1,100,62.2,13.5,,165.8,,,6028120.2,1733059.2,690.5,0.0,690.5,128572.0,6.36,165.7,40.711835,-74.006558,1.0,1.0,1501.0,4.6913478822291435,14.633617625529016,11.742766537732159,11.764244337685703,7.552237287560802,0.0,4.605170185988092,4.130354999745133,4.155753190350744,2.6026896854443837,,5.110782242701195,,,15.611945778808417,14.365398728529755,6.537415972849347,-inf,6.537415972849347,11.764244337685703,1.8500283773520307,5.1101789244325175,3.7065188364192108,0.0,0.0,7.313886831633462,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
110,1819903,526781.0,1964,1,100,121.7,13.5,0.0,235.7,682970.9,6829.7,29000440.2,8499541.8,5836.4,36.3,5800.1,628399.0,39.65,235.7,40.711437,-74.006146,1.0,1.0,1501.0,4.700480365792417,14.414293760929361,13.174540181382312,13.350930594019243,7.582738488914411,0.0,4.605170185988092,4.801558999993482,4.801558999993482,2.6026896854443837,-inf,5.462559809942086,13.434207531495918,8.829036027734855,17.18282156714589,15.955522814125217,8.671869447389867,3.591817741270805,8.66563043776519,13.350930594019243,3.680090948080857,5.462559809942086,3.70650906034438,0.0,0.0,7.313886831633462,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
123,2826071,305900.0,1896,1,100,19.6,5.8,,61.7,,,1767415.9,517999.9,164.0,0.0,164.0,89951.0,,61.7,40.729341,-73.996157,2.0,1.0,5501.0,4.812184355372417,14.854397965760976,12.631013530138995,11.407020356604264,7.547501682814967,0.0,4.605170185988092,2.975529566236472,2.975529566236472,1.7578579175523736,,4.122283930911342,,,14.385029094291276,13.157730328191409,5.099866427824199,-inf,5.099866427824199,11.407020356604264,,4.122283930911342,3.70694874180932,0.6931471805599453,0.0,8.612685172875459,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
125,2710354,470400.0,1972,1,100,0.0,,,0.0,,,,,0.0,0.0,0.0,505205.0,,0.0,40.729451,-73.997756,2.0,1.0,5501.0,4.8283137373023015,14.812589811631153,13.061338675566555,13.132719566479965,7.586803535162581,0.0,4.605170185988092,-inf,-inf,,,-inf,,,,,-inf,-inf,-inf,13.132719566479965,,-inf,3.7069514425613765,0.6931471805599453,0.0,8.612685172875459,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
127,2825722,232930.0,2001,1,100,30.6,7.1,0.1,82.9,1555140.0,15551.4,6018768.3,1763999.9,641.1,82.6,558.5,247639.0,,82.9,40.729409,-73.997817,2.0,1.0,65.0,4.844187086458591,14.854274465130134,12.3584932582254,12.419727319505164,7.601402334583733,0.0,4.605170185988092,3.4210000089583352,3.4210000089583352,1.9600947840472698,-2.3025850929940455,4.417635062141249,14.257076131697161,9.65190594570907,15.610393195022393,14.38309445885953,6.463185450993212,4.414009680526933,6.3252546185092555,12.419727319505164,,4.417635062141249,3.7069504113659977,0.6931471805599453,0.0,4.174387269895637,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
128,3508788,91104.0,2012,1,100,1.1,0.2,0.0,2.9,29500.0,330.6,73972.2,21680.0,8.4,1.6,6.9,91100.0,,2.9,40.73023,-73.997972,2.0,1.0,65.0,4.852030263919617,15.070781236667273,11.419756990077763,11.41971308324805,7.60688453121963,0.0,4.605170185988092,0.09531017980432493,0.1823215567939546,-1.6094379124341003,-inf,1.0647107369924282,10.292145542327912,5.8009091853869235,11.211444625926847,9.984145455553582,2.128231705849268,0.47000362924573563,1.9315214116032138,11.41971308324805,,1.0647107369924282,3.7069705685876624,0.6931471805599453,0.0,4.174387269895637,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
130,2704422,202521.0,1951,1,100,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,257259.0,,0.0,40.73098,-73.999495,2.0,1.0,65.0,4.867534450455582,14.81039876905686,12.218598863855577,12.457838638507061,7.576097340623111,0.0,4.605170185988092,-inf,-inf,-inf,,-inf,,,-inf,-inf,-inf,-inf,-inf,12.457838638507061,,-inf,3.7069889822596425,0.6931471805599453,0.0,4.174387269895637,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
131,2825703,122500.0,1895,1,100,52.9,15.5,,166.2,,,3245494.5,951199.9,301.2,0.0,301.2,61310.0,,166.2,40.730625,-73.998784,2.0,1.0,65.0,4.875197323201151,14.854267741162285,11.715866308966918,11.023698240756733,7.546974117516527,0.0,4.605170185988092,3.9684033388642534,3.9684033388642534,2.740840023925201,,5.113191882421348,,,14.992778284800087,13.765479519228341,5.707774495925738,-inf,5.707774495925738,11.023698240756733,,5.113191882421348,3.7069802664971676,0.6931471805599453,0.0,4.174387269895637,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
132,2704501,141811.0,2001,1,100,10.1,2.9,0.0,31.2,53900.0,539.0,1656867.2,485599.9,156.6,2.9,153.8,168566.0,12.05,31.2,40.729912,-73.999044,2.0,1.0,65.0,4.882801922586371,14.810427980047663,11.862250464119407,12.035082643478164,7.601402334583733,0.0,4.605170185988092,2.312535423847214,2.312535423847214,1.0647107369924282,-inf,3.4404180948154366,10.89488575689709,6.289715570908998,14.320439148356858,13.093140312796598,5.053694783556702,1.0647107369924282,5.035653057071544,12.035082643478164,2.489064659936664,3.4404180948154366,3.7069627610883824,0.6931471805599453,0.0,4.174387269895637,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
134,2704702,69800.0,1893,1,100,56.5,16.4,,175.4,,,5860451.5,1697415.1,543.8,0.0,543.8,103680.0,9.1,177.5,40.729827,-73.995429,2.0,1.0,59.0,4.897839799950911,14.810502297835365,11.153389288750464,11.549064511586101,7.545918151209323,0.0,4.605170185988092,4.034240638152395,4.023564380161053,2.797281334830153,,5.1670690799380825,,,15.583737206366738,14.34461712243667,6.29858153219837,-inf,6.29858153219837,11.549064511586101,2.2082744135228043,5.178970608915471,3.706960674167873,0.6931471805599453,0.0,4.07753744390572,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
135,2825503,125450.0,1929,1,100,3.9,0.0,0.0,4.4,591400.0,6387.1,0.0,0.0,31.4,31.4,0.0,151070.0,12.87,4.1,40.729245,-73.995919,2.0,1.0,59.0,4.90527477843843,14.854196959810452,11.739662551794568,11.92549858453777,7.564757012905729,0.0,4.605170185988092,1.3609765531356006,1.4350845252893227,-inf,-inf,1.4816045409242156,13.290247886400515,8.762035610241904,-inf,-inf,3.4468078929142076,3.4468078929142076,-inf,11.92549858453777,2.554899021608035,1.410986973710262,3.706946384783383,0.6931471805599453,0.0,4.07753744390572,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
136,2866471,100628.0,1894,1,100,29.9,8.7,,93.7,,,3841365.6,1125839.7,356.5,0.0,356.5,128679.0,3.6,93.7,40.729456,-73.994667,2.0,1.0,59.0,4.912654885736052,14.86859221441214,11.519185827941042,11.765076210107349,7.546446273746024,0.0,4.605170185988092,3.3978584803966405,3.3978584803966405,2.163323025660538,,4.540098189244376,,,15.161338486344327,13.93403971520271,5.8763342398543505,-inf,5.8763342398543505,11.765076210107349,1.2809338454620642,4.540098189244376,3.7069515653226603,0.6931471805599453,0.0,4.07753744390572,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
137,2709676,56684.0,1891,1,100,35.0,10.2,,109.8,,,2584931.2,757599.9,239.9,0.0,239.9,73913.0,,109.8,40.728978,-73.995378,2.0,1.0,59.0,4.919980925828125,14.812339628512781,10.945247262944761,11.210644004861829,7.544861068658458,0.0,4.605170185988092,3.5553480614894135,3.5553480614894135,2.322387720290225,,4.69866052907543,,,14.765209450483438,13.53791068885822,5.480222169845649,-inf,5.480222169845649,11.210644004861829,,4.69866052907543,3.7069398292757825,0.6931471805599453,0.0,4.07753744390572,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
138,2826111,180000.0,1895,1,100,11.7,3.3,,35.3,,,3009383.9,851147.6,279.3,0.0,279.3,258155.0,,36.6,40.730546,-73.995237,2.0,1.0,59.0,4.927253685157205,14.854412119586879,12.100712129872347,12.461315458704384,7.546974117516527,0.0,4.605170185988092,2.4595888418037104,2.4159137783010487,1.1939224684724346,,3.563882963939251,,,14.917245931388969,13.654340835524238,5.632286472951131,-inf,5.632286472951131,12.461315458704384,,3.6000482404073204,3.7069783269227905,0.6931471805599453,0.0,4.07753744390572,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
139,2826196,53482.0,1906,1,100,0.0,0.0,0.0,0.0,168.5,1.7,0.0,0.0,0.0,0.0,0.0,60329.0,,0.0,40.730398,-73.994938,2.0,1.0,59.0,4.9344739331306915,14.854442195801779,10.88710042767444,11.007568195796024,7.552762084214147,0.0,4.605170185988092,-inf,-inf,-inf,-inf,-inf,5.126935749792416,0.5306282510621704,-inf,-inf,-inf,-inf,-inf,11.007568195796024,,-inf,3.706974693279655,0.6931471805599453,0.0,4.07753744390572,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
140,2710436,91402.0,1901,1,100,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,124526.0,14.26,0.0,40.72984,-73.995418,2.0,1.0,59.0,4.941642422609304,14.812620065524039,11.423022639040912,11.732269808425201,7.550135342488429,0.0,4.605170185988092,-inf,-inf,-inf,,-inf,,,-inf,-inf,-inf,-inf,-inf,11.732269808425201,2.65745841498615,-inf,3.706960993344233,0.6931471805599453,0.0,4.07753744390572,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
141,3107613,,2011,1,100,4.8,1.4,0.0,14.9,6300.0,63.0,428547.2,125600.0,40.1,0.3,39.8,90870.0,,14.9,,,,,,4.948759890378168,14.949365465342225,,11.417185192689393,7.606387389772652,0.0,4.605170185988092,1.5686159179138452,1.5686159179138452,0.3364722366212129,-inf,2.7013612129514133,8.748304912379623,4.143134726391533,12.968156162645668,11.740857533016236,3.6913763343125234,-1.2039728043259361,3.6838669122903918,11.417185192689393,,2.7013612129514133,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
142,2709799,366268.0,1896,1,100,1.5,0.5,,4.8,,,403980.8,118400.0,37.5,0.0,37.5,262739.0,,4.8,40.729099,-73.993682,2.0,1.0,57.0,4.955827057601261,14.812385020363475,12.811120584863431,12.478916422972258,7.547501682814967,0.0,4.605170185988092,0.4054651081081644,0.4054651081081644,-0.6931471805599453,,1.5686159179138452,,,12.909122631061475,11.681824001432043,3.624340932976365,-inf,3.624340932976365,12.478916422972258,,1.5686159179138452,3.706942800129121,0.6931471805599453,0.0,4.04305126783455,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
143,2709808,366268.0,1896,1,100,19.4,5.7,,61.0,,,1898982.7,556559.9,176.2,0.0,176.2,97711.0,,61.0,40.729099,-73.993682,2.0,1.0,57.0,4.962844630259907,14.812388341637508,12.811120584863431,11.489769421253023,7.547501682814967,0.0,4.605170185988092,2.9652730660692823,2.9652730660692823,1.7404661748405046,,4.110873864173311,,,14.456828879695001,13.229530080922359,5.171619713502079,-inf,5.171619713502079,11.489769421253023,,4.110873864173311,3.706942800129121,0.6931471805599453,0.0,4.04305126783455,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
145,2706453,55224.0,1896,1,100,78.5,22.1,,236.5,,,5416890.6,1523552.7,502.7,0.0,502.7,69021.0,36.77,246.4,40.731265,-73.99506,2.0,1.0,59.0,4.976733742420574,14.811149479467055,10.919152920383311,11.142166085101078,7.547501682814967,0.0,4.605170185988092,4.363098624788363,4.321480134805848,3.095577608523707,,5.465948207931988,,,15.505032518755835,14.23655546821101,6.21999357069853,-inf,6.21999357069853,11.142166085101078,3.6046822953131805,5.506956231659364,3.7069959793660936,0.6931471805599453,0.0,4.07753744390572,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
147,2709720,110447.0,1928,1,100,16.0,1.4,0.0,27.7,118350.0,1183.5,571933.1,167624.0,151.1,98.1,53.1,120079.0,,26.4,40.73127,-73.999423,2.0,1.0,65.0,4.990432586778736,14.812355866484687,11.61229104686779,11.687634788762042,7.564238475170491,0.0,4.605170185988092,2.772588722239781,2.856470206220483,0.3364722366212129,-inf,3.3214324131932926,11.68140161494213,7.0762314289540384,13.256777305479853,12.029478654868944,5.017941869278694,4.585987366571318,3.9721769282478934,11.695905138491188,,3.2733640101522705,3.70699610212191,0.6931471805599453,0.0,4.174387269895637,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
163,3618216,,1964,2,100,10.7,1.1,0.1,18.9,1253100.0,12531.0,641633.4,188052.0,126.1,66.6,59.5,176351.0,,18.9,,,,,,5.093750200806762,15.10149164464785,,12.080231606189658,7.582738488914411,0.6931471805599453,4.605170185988092,2.3702437414678603,2.3702437414678603,0.09531017980432493,-2.3025850929940455,2.9391619220655967,14.041131039153376,9.435960853165286,13.371772391536114,12.144473799311216,4.837075242970874,4.198704577546343,4.085976312551584,12.080231606189658,,2.9391619220655967,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
153,3617949,,1848,3,100,97.7,11.8,0.3,192.9,15048437.4,165212.7,20786284.3,6092110.7,3808.5,1879.5,1929.0,515799.0,,185.7,,,,,,5.030437921392435,15.101417848652288,,13.153472433691558,7.521859252201629,1.0986122886681098,4.605170185988092,4.581901559048737,4.6520537718869415,2.468099531471619,-1.2039728043259361,5.262171919911683,16.526784716526212,12.014989013627485,16.84980391851219,15.622505164204384,8.244990689812843,7.538761063004233,7.564757012905729,13.153472433691558,,5.22413246835866,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
